Producto,Kcal,Grasa,Grasas saturadas,Carbohidratos,Azucares,Proteina,Sal,Supermercado
Chocolate Negro 85% (8g),575.0,46.25,27.500000000000004,22.5,15.0,12.5,0.0,mercadona
Plátano,93.0,0.1,0.0,21.7,17.83,1.4,0.0,mercadona
Jamón York,102.0,3.2,1.1,7.1,0.9000000000000001,11.3,4.5,mercadona
Cottage Cheese,99.0,4.0,2.6,1.7000000000000002,1.7000000000000002,14.000000000000002,0.8199999999999998,mercadona
Arándanos Enteros ,52.0,0.0,0.0,11.0,10.0,0.7,0.0,mercadona
Champiñones Laminados,21.0,0.1,0.09,1.5,0.3,2.8,1.0,mercadona
Contramuslos de Pollo sin Piel,129.0,5.9,1.8000000000000003,0.0,0.0,19.0,0.22,mercadona
Atún Claro en Aceite de Girasol,203.57142857142856,11.964285714285715,1.4285714285714286,0.0,0.0,23.92857142857143,1.3392857142857142,mercadona
Maíz Dulce,82.0,1.4,0.4,14.000000000000002,6.7,2.5,0.5,mercadona
Tortitas de Arroz,361.2903225806451,2.903225806451613,0.6451612903225806,74.19354838709677,0.967741935483871,8.38709677419355,1.4516129032258065,mercadona
Anacardo Natural,604.0,48.2,8.2,19.0,7.7,21.9,0.0,mercadona
Corn Flakes ,373.0,1.1,0.4,82.0,0.9000000000000001,6.7,1.5,mercadona
Corn Flakes 0% Azúcares Añadidos,373.0,1.1,0.4,82.0,0.9000000000000001,6.7,1.5,mercadona
Carne Picada Vacuno y Cerdo,172.0,12.0,5.0,1.0,0.5,17.0,0.2,mercadona
Yogur de Proteinas,51.66666666666667,0.08333333333333334,0.0,5.0,4.583333333333333,10.0,0.0,mercadona
Tortitas de Legumbres y Arroz ,366.3003663003663,3.296703296703297,0.6959706959706959,54.94505494505494,1.8315018315018317,24.908424908424905,1.684981684981685,mercadona
Chocolate Negro 72%,575.0,43.75,26.25,32.5,28.749999999999996,7.5,0.0,mercadona
Pan de Molde Blanco,275.86206896551727,2.0689655172413794,0.3448275862068966,48.275862068965516,3.7931034482758625,8.96551724137931,1.103448275862069,mercadona
Nueces Peladas,616.0,54.0,4.8,10.0,1.0,20.0,0.0,mercadona
Patatas Fritas Congeladas,163.0,5.5,0.7,25.0,0.5,2.2,0.05,mercadona
Tomate Triturado,28.000000000000004,0.1,0.0,5.5,3.5000000000000004,0.8,0.5,mercadona
Arroz Redondo,344.0,1.0,0.2,75.0,0.5,8.2,0.0,mercadona
Guacamole,149.0,13.699999999999998,3.8,2.0,1.4,1.9,1.5,mercadona
Salmón Ahumado,182.0,10.0,1.5,0.5,0.5,22.0,2.8,mercadona
Gnocchi,174.0,0.4,0.2,37.6,0.2,4.5,0.8699999999999999,mercadona
+Proteínas Natillas,76.66666666666667,1.5000000000000002,1.0,5.833333333333333,3.5833333333333335,10.0,0.1,mercadona
Guacamole Hacendado,149.0,13.699999999999998,3.8,2.0,1.4,1.9,1.5,mercadona
Yogur Natural 0%,36.0,0.08,0.0,4.4799999999999995,4.4799999999999995,4.32,0.32,mercadona
Arroz Integral,350.0,2.8,0.7,72.0,0.5,7.6,0.01,mercadona
Filetes de Lomo de Cerdo,152.0,8.9,3.2799999999999994,0.0,0.0,18.0,0.15,mercadona
Frutos Rojos Congelados,103.0,1.9,0.0,9.0,5.2,1.4,0.0,mercadona
Yogur +Proteínas Natural ,52.0,0.5,0.1,3.1,3.1,10.0,0.1,mercadona
Piña en Su Jugo,55.00000000000001,0.1,0.0,13.200000000000001,11.2,0.4,0.01,mercadona
Kefir Natural,74.0,4.2,2.9,5.1,2.3,3.9,0.0,mercadona
Leche de Almendras Zero,16.0,1.5,0.3,0.0,0.0,0.5,0.08,mercadona
Pera Conferencia ,53.0,0.1,0.0,12.0,9.0,0.5,0.0,mercadona
